Nom dolmen,"Lieu, autres noms",Commune ,IGN,OSM,Etat,Lat. N (°),Long. E (°),UTM Nord,UTM Est,Vérif.,Classement,Tumulus,Orthostats,Table,Remarques,Pages Web,Photos,Explications
Combe de l'ours 1,,Montbrun,-,,T,44.52953 ,1.89889,4931279,412508,,,oui,,,,,,
D. Combe de l'ours 2,,Montbrun,-,,cT,44.52625 ,1.89967,4930914,412565,,,oui,oui,petite,,,,
D. du pech de Montbrun,,Montbrun,-,,C,44.52260 ,1.90772,4930500,413200,,,non,oui,oui,,,,
D. de pech Joli,,Montbrun,-,,C,44.51715 ,1.90279,4929900,412800,,,non,oui,oui,,,,
D. du pech Roubert,,Montbrun,-,+,TO,44.51679 ,1.88455,4929880,411350,ok,,oui,oui,non,Gariotte,,oui,
D. du mas de Gabat,,Montbrun,-,+,"(C)4O,T",44.51390 ,1.89006,4929553,411783,ok,,oui,4,déplacée,,,oui,
D de Péchette,,Montfaucon,-,,,44.685 ,1.5608,4948966,385949,,,,,,,,,
D. de Pierre Basse,,Montfaucon,-,,C,44.6744 ,1.6072,4947725,389606,,,non,oui,oui,Arbre au milieu,,oui,
D. de Cambajou,,Montfaucon,+,,tC,44.6716 ,1.6194,4947397,390568,,,restes,oui,oui,,,oui,
D. du Frau,,Montfaucon,,,,,,,,,,,,,,,,
D. du moulin,,Orniac,,,,,,,,,,,,,2 D. ruinés,,,
D. de Bougoulat,,Padirac,+,,,44.86533 ,1.75865,4968740,401934,,,,,,,,,
D. de la croix d'Hélène,,Padirac,-,,c,44.86098 ,1.76465,4968250,402400,,,non,oui,petite,,,,
D. d'Andrieu,Champ de Monsieur,Padirac,+,,"2,CT",44.85634 ,1.74142,4967762,400557,,,oui,oui,oui,Dolmen double,,,
D. dit des Pendus (C),Bouygue Longue (C),Padirac,-,,T,44.85581 ,1.75675,4967685,401767,,,oui,,non,,,,
D. des Escurettes,Salvage (B),Padirac,+,,C,44.85507 ,1.74405,4967618,400763,,,non,oui,oui,,,,
D. dit des Pendus,Bouygue Longue (A),Padirac,+,,toc,44.85442 ,1.75539,4967532,401658,,,restes,oui,petite,,,,
D. des Calcas,D. de Penot,Padirac,+,,toc,44.85122 ,1.75941,4967172,401970,,,restes,oui,petite,2 dol,,,
D. des Claouzelles,,Padirac,-,,,44.84194,1.752778,4966149,401430,,,,,,,,,
D. de la Terre de Lacoste,,Padirac,,,,,,,,,,,,,,,,
D. du Moulin (A),,Reilhac,-,,,44.7011 ,1.72,4950544,398593,,,,,,,,,
D. de Bugadou,,Reilhac,,,,,,,,,,,,,,,,
D. de la Grange des Rouquets,,Reilhac,,,,,,,,,,,,,,,,
D. du puits de Gabaudet,,Reilhac,,,,,,,,,,,,,ruiné,,,
D. des Causses hauts 2,,Reyrevignes,+,+,C,44.65430 ,1.90040,4945137,412815,,,non,oui,oui,,,oui,
D. des Causses hauts 1,,Reyrevignes,+,+,C,44.65100 ,1.89580,4944775,412445,,,non,oui,oui,,,oui,
D. du Champ de Cuzer,Imbarcous,Reyrevignes,+,+,C,44.63602 ,1.89837,4943108,412630,,,non,oui,oui,Table cassée,,oui,
D; des Fragives,,Reyrevignes,,,,,,,,,,,,,,,,
D. de Lacam,,Rocamadour,,,,"44°50'54"" ","1°39'14""",4966983,393626,,,,,,,,,
D. de la Rue,,Rocamadour,-,,,44.83704 ,1.64104,4965746,392590,,,,,,,,,
D. du Pech de Gourbières (B,,Rocamadour,-,,,44.83194 ,1.59265,4965245,388755,,,,,,,,,
D. du Pech de Gourbières (A),,Rocamadour,-,,,44.83174 ,1.59272,4965222,388761,,,,,,,,,
D. des Plantoux,D. de la Rue,Rocamadour,-,,C,44.82925 ,1.65128,4964867,393385,,,non,oui,oui,,,,
D. du Pouget,,Rocamadour,,,,"44°49'41"" ","1°37'35""",4964768,391415,,,,,,,,,
D. d'En Caminou,,Rocamadour,,,,"44°47'58"" ","1°39'55""",4961538,394437,,,,,,,,,
P. Levée de la Pannonie,D. de Magès (les Places),Rocamadour,+,,CT,44.78678 ,1.6133,4960200,390302,,classé MH,oui,oui,oui,,,,
D. des Places,,Rocamadour,,,,,,,,,,,,,,,,
D. du Bois d'Alis,,Rocamadour,,,,,,,,,,,,,,,,
D. du Pech de Bourel,,Rocamadour,,,,,,,,,,,,,,,,
D. des Agars,,Saint Chels,+,+,C,44.547350 ,1.817690,4933349,406085,ok,classé MH,non,,oui,,,oui,
D. d'Aubin,,Saint Chels,-,+,C,44.54669 ,1.81323,4933280,405730,ok,classé MH,non,,oui,,,oui,
D. du Pech d'Agaïo,Pech de Fourès,Saint Chels,+,+,C,44.54421 ,1.81669,4933001,406001,ok,classé MH,non,oui,cassée,écroulé,,oui,
D. de la Peyrière,,Saint Chels,-,,c,44.52018 ,1.84485,4930300,408200,,,non,,petite,,,,
D. des Strabols,,Saint Chels,-,+,(c)Ot,44.51949,1.83499,4930234,407415,ok,,restes,,déplacée,Couverture déplacée,,oui,
D. du Mas-de-Pezet,Gaubert,Saint Chels,+,,C,44.50927 ,1.80221,4929137,404793,,inscrit MH,non,,oui,,mas des pezet,,
D. de Cabrone,,Saint Chels,-,,O,44.50784 ,1.78345,4929000,403300,,,non,,non,,,,
D. de Saint Bérot,,Saint Chels,,,,,,,,,,,,,,,,
D. du Bout de la Combe,,Saint Chels,,,O,,,,,,,non,,non,,,,
D. du Devès,,Saint Chels,,,,,,,,,,,,,,,,
D. de Pourquayret,,Saint Chels,,,O,,,,,,,non,,non,,,,
D. de Rigou,,Saint-Projet,-,,C,44.75806 ,1.49786,4957172,381111,,,non,,oui,,,oui,
Cromlech de Peyrebrune,,Saint-Projet,,,,"44°43'55"" ","1°29'55""",,,,,,,,,,,
D. de Roucous,,Saint-Simon,+,+,C,44.71056 ,1.83035,4951464,407351,,,?,,cassée,Accès interdit par le propr.,,,
D. de Pech-Curet,,Salviac,+,,,44.69584 ,1.28697,4950590,364274,,,,,,,,oui,
D. du Pech de Gadal,,Sauliac,+,,C,44.52822 ,1.7241,4931336,398618,,,non,,oui,,,,
D. dit la Pierre Levée,,Sauliac,-,,ct,44.51632 ,1.74146,4929992,399977,,,restes,,petite,,,,
D. du Cloup del Prioun,Pech Grand,Sauliac,-,,C,44.50461 ,1.6878,4928759,395691,,inscrit MH,non,,oui,,,,
D. du Pech de la Garde,,Sauliac,,,,,,,,,,,,,,,,
D. des Pouzols,Métairie basse,Sauliac,,,,,,,,,,,,,,,,
D. des Cuzals,,Sauliac,,,,,,,,,,,,,2 dol,,,
D. du Mas de Galdot,,Sauliac,,,,44.52806 ,1.724167,4931318,398623,,,,,,,,,
D. de Nougayrac,,St Martin Labouval,-,,,44.4827 ,1.7155,4926290,397855,,,,,,,,,
D. des Choulbes,,St Martin Labouval,,,,,,,,,,,,,,,,
D. du Frau,,St Martin Labouval,,,,,,,,,,,,,,,,
D. des Parts,,St Martin Labouval,,,,,,,,,,,,,,,,
D. du Pech de Tuile,,St Martin Labouval,,,,,,,,,,,,,,,,
D. des Cazelles Longues,,St Pierre Toirac,-,,,44.54436 ,1.93492,4932888,415393,,,,,,,,,
D. de Pierre Grosse,,St Pierre Toirac,-,,t,44.53903 ,1.95461,4932276,416949,,,restes,,non,,,,
D. du Rat,,St Sulpice,+,+,CT,44.58118 ,1.78234,4937148,403333,,inscrit MH,oui,,oui,,Clottes,oui,
D. de la Cabroulate,,Thémines,,,,,,,,,,,,,,,,
D. du Pech de Lavayssière,,Thémines,,,,,,,,,,,,,,,,
D. de Salers,D. des Places,Théminettes,,,,44.72146,1.84203,4952661,408293,,,,,,,niederlender,,
Tumulus de Salers 2,,Théminettes,,,T,44.72140,1.84096,4952655,408208,,,oui,,,,,,
Tumulus de Salers 1,,Théminettes,,,T,44.72116,1.84170,4952628,408266,,,oui,,,,,,
D. de Fallière,,Théminettes,,,,,,,,,,,,,,,,
D. du Mas du Causse,,Théminettes,,,,,,,,,,,,,,,,
D. du Roucadour,,Théminettes,,,,,,,,,,,,,,,,
D. des Carbonnières,,Tour-de-Faure,-,,C,44.47905 ,1.67981,4925930,395010,,,non,,oui,,,,
D. du Peyry,,Tour-de-Faure,,,,,,,,,,,,,2 dol,,,
D. du Pech Lasserre,,Tour-de-Faure,,,,,,,,,,,,,2 dol,,,
