"Nom cavité";"Alias";"Commune";"IGN";"X Lambert3";"Y Lambert3";"Latitude";"Longitude";"Altitude";"Description";"Page Taisne";"Plan"
"igues d'AMÉLIE : n°2 :";"";"Quissac";"2137 E";"550.34";"3261.75";"44.654041";"1.710434";"425";"À 1km7 WNW de Quissac sur la route de Fontanes (D 146), 50m avant la cote 438 de l'IGN, prendre un chemin à droite (traces<br/>
de roues) qui traverse un terrain dégagé et herbu direction NW et franchit un muret effondré (à 50m de la route) pour aboutir à un<br/>
terrain déboisé. L'igue n°1 se trouve à 200m N (légèrement E), au pied du muret opposé (orifice de 2m x 1m50) ; suivre ce muret sur<br/>
45m NNE (65m avant le muret perpendiculaire qui borde au N le terrain déboisé) : l'igue n°2 se trouve à 25m SE, au milieu du terrain.<br/>
C'est une diaclase à peu près perpendiculaire au muret, de 4m de long sur 1m (maximum) de large.<br/>
N.B.- À 6m au delà du muret perpendiculaire cité plus haut, quelques mètres avant l'angle N du terrain, trou de 0m70 x 0m40 d'environ<br/>
3m de profondeur dans le lapiaz. Plan 141.";"6";"141"
"igue aux AMPHORES";"";"Fontanes-du-Causse";"2137 E";"546.59";"3261.36";"44.650265";"1.663196";"365";"A 1km SSW de Fontanes, au croisement des routes de Caniac (D42) et de Livernon (D25), franchir la claie de l’angle SE et<br/>
suivre les traces d’un chemin qui mène à une barrière, à environ 600m SE. Franchir cette barrière et suivre, d’abord vers la gauche<br/>
(ENE), des traces qui, obliquant petit à petit vers le S, aboutissent à un passage dans un muret à environ 200m. Suivre ce muret vers<br/>
la gauche, direction NNE, sur 90m, c’est-à-dire jusqu’au moment où il rencontre un autre muret. Suivre ce dernier vers la droite,<br/>
direction SE, sur 90m. L’igue se trouve à 45m SW, dans l’extrémité N (la moins profonde) d’un cloup allongé NS : orifice de 0m60<br/>
par 1m. Plan 186.<br/>
N.B. L’igue Prolongée se trouve à 75m ENE, à 20m au-delà du muret.";"6";"186"
"igue ANDRIEU";"";"Caniac-du-Causse";"2138 OT";"545.5";"3258.42";"44.623726";"1.649764";"390";"Sur la route de Caniac à Fontanes (D 42), 400m après le cimetière, face à la maison qui suit l'embranchement de la route de<br/>
Quissac (D 71), traverser un groupe de maisons et suivre un muret qui monte direction NNW. 15m avant d'arriver à un chemin<br/>
perpendiculaire (soit environ 150m de la route), franchir le muret à gauche : l'igue s'ouvre en bordure d'une vigne, à 5m de l'angle<br/>
N de cette vigne. Orifice de 0m70 de diamètre (rebouché !). Plan 74.";"6";"74"
"grande grotte (du Défilé) des ANGLAIS";"";"Bouziès";"2138 OT";"544.85";"3243.16";"44.486344";"1.643194";"145";"Sur la route de Cajarc à Cahors (D 662), 35m après le pont de Bouziès, et 80m avant le deuxième tunnel : vaste porche au-<br/>
dessus et en retrait de la route, orienté à l'WSW. Indiquée sur l'IGN. Plan 155.";"6";"155"
"grotte fortifiée (du Défilé ou du Château) des ANGLAIS";"";"Bouziès";"2138 OT";"544.76";"3243.19";"44.486607";"1.64206";"145";"Sur la route de Cajarc à Cahors (D 662), 100m après le pont de Bouziès, à droite de l'entrée du deuxième tunnel. Plan 155.";"7";"155"
"grotte-entrepôt (du Défilé) des ANGLAIS";"";"Bouziès";"2138 OT";"544.73";"3243.2";"44.486695";"1.641681";"135";"Sur la route de Cajarc à Cahors (D 662), 115m après le pont de Bouziès, à la sortie du deuxième tunnel, au pied de la falaise<br/>
et au niveau de la route : orifice de 8m de haut sur 6m de large fermé par un mur. Plan 155.";"7";"155"
"igue des ANGLAIS";"";"Couzou";"2137 E";"545.75";"3273.8";"44.762151";"1.651299";"345";"A 3km de Couzou, sur la route de Gramat (D 39), 1km5 après la route (à gauche) de Poudurac, dans le virage à droite qui suit<br/>
un grand virage à angle droit vers la gauche, prendre le chemin, fermé par un grillage, qui monte à droite (direction ENE) entre deux<br/>
murets et le suivre sur 195m. L'igue s'ouvre au fond d'un trou rectangulaire de 2m50 sur 3m50, de 2m50 de profondeur, que l'on<br/>
devine 15m à droite (SSE) du chemin : orifice de 1m sur 1m50, sur le côté E du trou. Plan 180.";"7";"180"
"grotte-émergence et fontaine d'ANGLANAT : Fontaine :";"ou de ROC TRAOUCAT";"Sauliac-sur-Célé";"2138 OT";"548.99";"3246.69";"44.518416";"1.694895";"140";"Vallée du Célé. À 4km5 de Cabrerets au bord de la route de Sauliac (D 41), 2km3 après la Pescalerie, la fontaine d'Anglanat<br/>
s'ouvre au bord gauche de la route, dans une large fissure de la falaise (indiquée sur l'IGN). La grotte-émergence se trouve<br/>
125m plus loin, 200m avant la chapelle de Roc Traoucat, en face de la borne km 48, au fond et en haut (8m plus haut que la<br/>
route) d'un petit thalweg qui part au niveau même de la route. Pour y accéder, monter par les escarpements à gauche, au milieu des<br/>
buis, ou encore par un vague sentier, 30m en aval, qui passe au-dessus de la falaise. Plan 94.";"7";"94"
"igue d' (ou de l') ANZÉLIO";"ou d'ANGÉLI - ou de BOUTIERS";"Reilhac";"2137 E";"552.38";"3265.28";"44.685946";"1.735829";"320";"Au carrefour de la chapelle du Cornouiller, prendre la route de Flaujac (D 25) sur 500m environ. Juste avant un virage à gauche,<br/>
30m après une claie à droite fermant un ancien chemin, prendre à gauche, juste avant une claie, un chemin (peu visible et fermé par<br/>
un grillage) et le suivre, direction NW, pendant environ 190m jusqu'au moment où, au niveau d'une claie à droite, il devient plus étroit<br/>
et embroussaillé ; franchir alors le muret de gauche : l'igue s'ouvre à 110m W, en bordure SSE d'un cloup (à la limite des arbres qui<br/>
le bordent), dans le sol rocheux. Orifice triangulaire de 1m sur 1m20 à moitié recouvert d'une belle dalle rocheuse. Indiquée sur l'IGN.<br/>
Plan 62.";"7";"62"
"grotte de l'AQUEDUC";"";"Vers";"2138 OT";"537.82";"3243.73";"44.490907";"1.554747";"180";"A 670m de Vers – carrefour des routes de la vallée du Lot et du Vers – sur la route de Figeac (D 653), 60m après le panneau<br/>
de sortie de Vers, prendre à gauche le sentier bien tracé qui monte aux vestiges de l'aqueduc romain, au pied de la falaise, à environ<br/>
100m de la route et 30m plus haut. Suivre ce dernier vers la gauche (SW) sur 60m. La grotte se trouve, bien visible, à 12m à droite<br/>
et 6m plus haut, dans un renfoncement de la falaise : orifice de 5m50 de large sur 4m de haut, orienté à l'E.<br/>
Pointée sur l'IGN.";"7";""
"grotte de l'ARBRE";"";"Bouziès";"2138 OT";"545.05";"3243.04";"44.485279";"1.645721";"140";"Sur la route de Cajarc à Cahors (D 662), 145m après le premier tunnel de Bouziès et 190m avant le pont, au niveau d'un<br/>
élargissement de la route permettant le demi-tour et 4m plus haut, dans la falaise : orifice oval de 2m50 de haut sur 3m de large.<br/>
Pointée sur l'IGN. Plan 155.";"7";"155"
"grotte et igue d’ ARCAMBAL";"ou la MERDEUSE";"Miers";"2136 ET";"550.68";"3285.35";"44.866439";"1.712463";"295";"grotte :<br/>
igue :<br/>
De Miers, prendre la route de Carennac (D 20). Juste après le carrefour situé à la sortie de Miers, prendre à droite (N) la petite<br/>
route qui mène aux Camps Bas, à 850m. Là, prendre le chemin descendant à droite pendant une centaine de mètres jusqu'à<br/>
une bifurcation. Franchir la barrière située entre les 2 chemins : l'igue s'ouvre à 50m NE, juste en face, à la bordure du terrain,<br/>
sous le mur de gauche d'une cabane de pierres, à peine visible, dans les buissons.<br/>
Continuer le chemin à gauche de la barrière sur 400m environ, c'est-à-dire jusqu'au moment où il est fermé par une barrière. Franchir<br/>
cette barrière : la grotte s'ouvre à 135m NNE dans un creux, derrière des buissons, après avoir laissé à droite un cloup peu profond.<br/>
Orifice en arc de cercle de 1m30 de haut sur 2m50 de large à la base, orienté au N. 2ème orifice (rebouché) à 50m S, sur le côté<br/>
NNW du cloup peu profond.";"7";""
"igue de l'ARCHE";"";"Brengues";"2238 W";"559.9";"3253.78";"44.582908";"1.831583";"290";"Aux premières maisons de Brengues (Mas de Bessac) sur la route venant de Grèzes (D 38), prendre le GR 651 qui monte à<br/>
gauche (NNE) et le suivre sur environ 200m, c'est-à-dire jusqu'au moment où devenant horizontal il s'engage vers le pied de la falaise.<br/>
Quitter alors le sentier et monter à gauche de façon à suivre le bord de la falaise. A environ 150m, juste après un muret<br/>
perpendiculaire, descendre à droite sous une belle arche rocheuse de 4m sur 4m. L'igue s'ouvre au pied gauche de l'arche (8m sous<br/>
le rebord de la falaise au-dessus de l'arche), sous un gros chêne, par un orifice de 0m80 de haut sur 0m50 de large orienté à l'ESE.";"8";""
"igue de roc d'ARÈNE";"";"Gramat";"2137 E";"549.94";"3272.33";"44.749224";"1.704366";"325";"A Lengrau (3km SW de Gramat) prendre le chemin qui part direction SSW près de la maison la plus au S du village, et le suivre<br/>
sur 700m, c'est-à-dire jusqu'au premier grand carrefour dans les bois. Suivre alors le chemin de droite (SSW) sur 80m et franchir une<br/>
claie à droite qui donne accès au chemin descendant au fond de l'effondrement de Roc d'Arène. Suivre ce chemin sur 175m : l'igue<br/>
s'ouvre 33m à gauche (WNW) du chemin et environ 14m plus haut, dans la pente boisée, à droite et un peu plus bas qu'un ressaut<br/>
rocheux visible du chemin. Orifice de 0m60 sur 0m90.";"8";""
"grotte du pech d'ARSOU";"";"Corn";"2238 W";"564.04";"3256.85";"44.610754";"1.883503";"295";"À Corn, suivre la route de Livernon (D 113) jusqu'au carrefour de la petite route de Pech d'Arsou, en haut de la côte (1km5 de<br/>
Corn). Quelques mètres avant ce carrefour, prendre à gauche, direction SW, un petit chemin (peu visible...) qui, au début, longe le<br/>
muret d'une propriété. La grotte se trouve à 270m, juste sous le chemin. Ouverture de 3m de large sur 1m30 de haut orientée vers<br/>
la vallée (SE). Indiquée (mal) sur l'IGN. Plan 86.";"8";"86"
"grotte n°2 du pech d'ARSOU";"";"Corn";"2238 W";"564.24";"3256.95";"44.611664";"1.886016";"260";"À environ 1km WNW de Corn, sur la route de Livernon (D 113), 270m avant le carrefour de la route de Pech d'Arsou (en haut<br/>
de la côte), franchir une barrière métallique à gauche et suivre un chemin WSW qui mène à une ancienne carrière à l'extrémité W<br/>
de laquelle il se termine (180m de la route) et se transforme en un sentier montant légèrement. La grotte se trouve à 70m WSW dans<br/>
la pente, au bout de ce sentier : porche de 2m50 de haut sur 12m de large orienté au SSE, dans un creux. Plan 86.";"8";"86"
"pertes d'ASSIER : n°2 :";"";"Assier";"2237 W";"563.8";"3264.08";"44.675807";"1.879974";"345";"La perte principale se trouve au pied E du mur de clôture du château, dans les ruines d'un ancien moulin, à 75m S de la mare<br/>
formée par le ruisseau d'Assier à son entrée dans le bourg. La perte n°2 (impénétrable) se trouve à 20m E de cette mare, dans<br/>
les fourrés, derrière la vieille pompe, à l'angle du pré (elle provient d'un petit ruisseau qui a son origine au plan d'eau situé en<br/>
rive gauche du ruisseau d'Assier, en amont du terrain de jeux de la route de Lacapelle-Marival). Mal indiquées sur l'IGN. Plan 60.";"8";"60"
"igue du Mas d'AUBRAC";"ou du Mas DAURAT";"Limogne-en-Quercy";"2139 E";"554.55";"3232.02";"44.386757";"1.766114";"300";"À 1250m SSW de Limogne, par la route de Varaire (D 19), prendre à gauche la petite route qui mène au Mas d'Aubrac. À 100m<br/>
du carrefour, à l'extrémité du champ de gauche, longer le muret qui part à gauche séparant le champ d'un petit bois (direction ENE),<br/>
sur une longueur de 180m environ, c'est-à-dire jusqu'au moment où il tourne à angle droit vers la droite. l'igue se trouve dans le champ<br/>
à 12m NNW (dans le prolongement du muret qui part à droite). Orifice de 70cm de diamètre entouré de buissons.";"8";""
"grotte (ou fissure) du Roc d'AUCOR";"ou d' OOUCOR";"Cras";"2138 OT";"538.64";"3250.21";"44.549293";"1.564292";"250";"Fissure inaccessible sans agrès, sous le rebord de la falaise W de la vallée du Vers, à 300m amont de Font Polémie, sous<br/>
l'oppidum de Murcens.Plan 98.";"8";"98"
"grotte de la font d'AUDIRÉ";"ou ou d'ODILE";"Montcléra";"2038 W";"507.27";"3258.56";"44.621106";"1.168024";"230";"A St-Caprais, prendre la petite route de St-Étienne-des-Landes sur 1.400m, c'est-à-dire jusqu'à un beau chemin à droite (ESE),<br/>
quelques mètres avant que la route traverse la vallée. Suivre ce chemin (qui suit la vallée) sur 700m, c'est-à-dire 100m après avoir<br/>
laissé à gauche la font d'Audiré (vasque en pierre et lavoir, dans l'angle d'un chemin). La grotte se trouve dans la pente à droite (SE)<br/>
à 40m du chemin et 6m plus haut : porche de 2m40 de haut sur 2m20 de large orienté au NNW.";"8";""
"igue à l'AUGE";"";"Caniac-du-Causse";"2138 OT";"548.03";"3259.55";"44.634081";"1.681531";"415";"Dans la Braunhie (voir p.27). À 3,5km de Caniac sur la route de Fontanes (D 42), au début de la ligne droite qui borde la<br/>
Braunhie, en face de la petite route qui vient de Lascombes, prendre à droite (E) le chemin qui va vers le centre de la Braunhie ; à<br/>
500m, laisser à gauche le chemin de Planagrèze et suivre tout droit, direction ESE, le chemin bordé de murets qui bientôt (à 150m)<br/>
débouche en terrain dégagé. 100 mètres plus loin, 40m après avoir dépassé (à gauche du chemin) le petit orifice de l'igue Tom Pouce,<br/>
prendre à la bifurcation la branche de gauche et la suivre tout droit, direction générale ENE, jusqu'à la bifurcation suivante, 700m plus<br/>
loin, où il faut prendre à gauche, pour arriver, 200m plus loin, à la limite du bois, le chemin se terminant sur un autre chemin<br/>
perpendiculaire. Suivre ce dernier à gauche (NNW) pendant 100m (en laissant à droite les Trois Marmites) et prendre à droite un<br/>
autre chemin entre deux murets. À 230m franchir une claie qui barre le chemin, pénétrer dans le bois et continuer les traces de chemin<br/>
pendant environ 110m, c'est-à-dire jusqu'au moment où elles tournent vers la droite (au niveau de tables de pierre à droite du chemin).<br/>
Prendre un vague sentier à droite (SE) menant à une ruine, à 30m du chemin et à 15m du bord Nord d'un cloup. Traverser ce cloup :<br/>
l'igue s'ouvre en bordure Sud (à 40m S de la ruine), derrière un muret et à 10m NNE d'une belle doline. Petit orifice dans des blocs<br/>
de rochers, environ 2m plus bas que le rebord du cloup. Plans 70, 73 & 139.";"9";""
"igues d'AUJOLS";"ou d' ARCAMBAL";"Aujols";"2138 OT";"535.58";"3238.4";"44.442743";"1.527244";"118";"535,49 - 238,30 - 190m )<br/>
535,50 - 238,25 - 195m )<br/>
grande igue :<br/>
grotte :<br/>
igue n°2 :<br/>
igue n°3 :<br/>
À 1km5 d'Arcambal, sur la route de Limogne (D 911), une centaine de mètres après le grand virage, prendre à droite le chemin<br/>
SSE qui, obliquant légèrement à gauche, suit, en montant, une petite combe : la première igue, la plus grande (130m de diamètre),<br/>
s'ouvre béante à droite du chemin à 400m de la route. Pour y descendre (grotte au fond) suivre un sentier sur le flanc S. Les deux<br/>
autres igues, plus petites, sont plus haut, à environ 50m SW de la grande. Indiquées sur l'IGN. Plan 117.<br/>
AUJOLS, igue d’ (Aujols) - voir aussi à LACANAL.";"9";"117"
"fontaine du pech des AUQUES";"";"Miers";"2136 ET";"547.32";"3286.42";"44.87583";"1.669837";"225";"Indiquée mare sur l'IGN.";"9";""
"igue du pech des AUQUES";"ou du REMBLAI";"Montvalent";"2136 ET";"547.06";"3286.44";"44.875991";"1.666545";"220";"À environ 2km de Miers, sur la route de Carennac (D 20), entre le hameau de Millet et l'embranchement de la route de Floirac,<br/>
prendre à gauche (W) la route des Fieux (2ème à gauche, en venant de Miers, après la borne Carennac 8km). La suivre sur 1km500<br/>
environ, jusqu'à l'embranchement qui mène d'un côté aux Fieux Hauts et de l'autre aux Fieux Bas. Prendre à gauche et continuer sur<br/>
1km300 au-delà des Fieux Bas, jusqu'à la mare du pech des Auques (indiquée sur l'IGN). Descendre dans la combe à l'W, traverser<br/>
le champ et remonter le versant opposé au niveau d'un gros rocher situé au milieu de la concavité de la bordure W. L'igue se trouve<br/>
à une cinquantaine de mètres W et 15m plus haut, à 30m E d'une porte dans la clôture de la chasse du bois de Turenne. Orifice<br/>
triangulaire de 2m de côté à la limite d'un bouquet d'arbres, derrière un tas de pierres (désobstruction). 2ème orifice en terrier de 1m<br/>
de large sur 0m40 de haut à 25m ESE et 4m plus bas. Plan 8.";"9";"8"
"font d'AUQUETTE";"";"Thédirac";"2038 E";"519.24";"3257.99";"44.617407";"1.318936";"245";"A 2km5 S de Lavercantière, en contrebas de la route de Catus (D 6), 800m après la traversée du ruisseau de Pont Barrat, dans<br/>
un fort virage à gauche : émergence temporaire impénétrable, à 25m de la route et 7m plus bas, au pied d'une petite falaise. Indiquée<br/>
sur l'IGN.";"9";""
"grotte du pech des AUSIERS";"";"Milhac";"2036 ET";"522.41";"3278.73";"44.804387";"1.355761";"200";"A 600m NNE de Milhac, sur la route de Masclat (D 101), au carrefour de la route des Ausiers (à droite), prendre le chemin qui<br/>
part entre les deux routes, direction NE. A 350m, 100m après la lisière du bois, prendre le chemin qui part à droite, direction S au<br/>
départ, sur environ 200m, c'est-à-dire 70m avant d'arriver à une propriété privée. La grotte se trouve à 95m NE (ligne de plus grande<br/>
pente) et 40m plus haut : orifice vaguement en forme de trou de serrure élargi, de 2m de haut sur 2m50 de large, orienté WSW, au<br/>
pied d'une petite falaise.";"9";""
"igue de l'AUSSURE";"";"Caniac-du-Causse";"2138 OT";"547.36";"3259.93";"44.637452";"1.673048";"380";"Dans la Braunhie (voir p.27). De la route de Caniac à Fontanes (D 42), prendre l'itinéraire du carrefour de Roche Percée. 700m<br/>
avant ce carrefour, c'est-à dire au carrefour précédent, au lieu de tourner à gauche, continuer tout droit le chemin, direction SE, qui<br/>
monte entre deux murets à travers arbres et arbustes plus fournis, pendant encore 400m, c'est-à-dire jusqu'au plus haut du chemin :<br/>
la vue devient alors plus dégagée et le muret de gauche s'écarte formant une petite place au sol rocheux (80m avant d'arriver au<br/>
niveau d'une bergerie à gauche). Franchir le muret de droite : l'Aussure est à environ 90m WNW, à la limite d'un bois clairsemé, au<br/>
fond d'une petite doline de 8m de profondeur dont seule la paroi WSW est verticale (ouverture de 1m50 sur 3m). Indiquée sur l'IGN.<br/>
Plans 70 et 139.";"10";""
"émergence d'AUTOIRE";"";"Autoire";"2136 ET";"559.47";"3283.74";"44.852498";"1.823815";"250";"Du centre d'Autoire, par la petite route qui part près de la fontaine, gagner le chemin caillouteux qui monte près d'un réservoir<br/>
(marqué sur l'IGN). L'émergence se trouve environ 110m après ce dernier, quelques mètres après un virage à gauche en épingle<br/>
à cheveux, à droite du chemin. Captée, impénétrable.";"10";""
"émergence de la cascade d'AUTOIRE";"";"Autoire";"2136 ET";"558.38";"3282.84";"44.844337";"1.810099";"330";"Du pont de la buvette de la cascade d'Autoire prendre le chemin empierré qui monte aux points de vue et vers le village de<br/>
Siran. L'émergence se trouve à 60m du pont, 10m à gauche du chemin et 4m plus haut.";"10";""
"émergence d'AYRISSAC";"";"Brengues";"2238 W";"559.81";"3252.12";"44.567964";"1.830578";"160";"À 500m SSE d'Ayrissac, au bord du chemin. Impénétrable. Indiquée sur l'IGN.";"10";""
"grotte d'AYRISSAC";"";"Brengues";"2238 W";"559.6";"3252.72";"44.573352";"1.827887";"160";"A l'extrémité W d'Ayrissac (600m W du pont de Brengues), dans le virage de la route, prendre le chemin qui descend au Célé<br/>
en contournant la dernière maison et remonter la rive gauche de la rivière (direction E) sur 145m. La grotte se trouve à 12m de la<br/>
berge et 4m50 plus haut : orifice de 0m60 de haut (1m10 initialement) sur 0m70 de large, orienté au NNW.";"10";""
"abri-fontaine de la BABOURÉ";"ou de la BABOURIE";"Sarrazac";"2136 ET";"538.44";"3299.83";"44.995793";"1.555847";"252";"À 2km500 SSW de L'Hôpital-St-Jean, au carrefour situé en contrebas des maisons de La Babourie. Fontaine bâtie, dans les<br/>
buissons. Impénétrable. Indiquée Sce sur l'IGN.";"10";""
"perte de BAGOU";"ou de PENOT - ou le BOUFFIO";"Padirac";"2136 ET";"553.94";"3283.35";"44.848657";"1.753892";"340";"En venant de Padirac, 800m avant d'arriver au gouffre, prendre à droite la petite route qui mène à Bagou et à Penot (750m).<br/>
La perte se trouve en contrebas de la route en arrivant à Penot. Elle se présente comme un puits de 3m de diamètre entouré d'un<br/>
mur ouvert seulement côté amont. Marquée gouffre sur l'IGN. Plan 18.";"10";"18"
"igue de la BAGUETTE MAGIQUE";"";"Limogne-en-Quercy";"2139 E";"552.71";"3232.96";"44.395099";"1.742936";"270";"A 2km5 W de Limogne sur la route de Cahors (D 911), 100m après avoir laissé à gauche la route de Ferrières, en début de<br/>
virage à gauche, prendre le chemin qui part à droite direction NW. A 170m, franchir le muret de droite : l'igue se trouve à 16m E,<br/>
derrière le rideau d'arbres, en terrain dégagé, derrière un tas de pierres (désobstruction). Orifice de 0m60 sur 1m70, orienté N-S.";"10";""
